"Story","Title","Result","Date","Stability","Duration (s)"
"TWG Loyalty","Null Customer id","SUCCESS","2021-11-18T16:28:13.5000403+13:00[Pacific/Auckland]","0.0","4.11"
"TWG Loyalty","Passing empty storeID","SUCCESS","2021-11-18T16:28:17.618731+13:00[Pacific/Auckland]","0.0","0.56"
